Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence,label,TriggerWord,Label
42,1594143567770,07/07/2020 17:39:27,1594143567690,-4,07/07/2020 13:39:27,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,2,ReadingPres,Zone1,reading,600.6320000000014,null,,how,6,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
43,1594143568176,07/07/2020 17:39:28,1594143568100,-4,07/07/2020 13:39:28,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,2,ReadingPres,Zone1,reading,417.0279999999984,null,,to,7,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
44,1594143568645,07/07/2020 17:39:28,1594143568584,-4,07/07/2020 13:39:28,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,2,ReadingPres,Zone1,reading,484.0669999999991,null,,shoot,8,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
45,1594143569098,07/07/2020 17:39:29,1594143569025,-4,07/07/2020 13:39:29,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,2,ReadingPres,Zone1,reading,433.52800000000207,null,,baskets.,9,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
46,1594143569270,07/07/2020 17:39:29,1594143569027,-4,07/07/2020 13:39:29,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,2,ReadingPres,Zone1,reading,3620.370999999999,null,,Content End,,0,1,0,,,true,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
47,1594143569833,07/07/2020 17:39:29,1594143569767,-4,07/07/2020 13:39:29,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,3,BlankScreen,Zone1,fixation,751.1039999999994,null,,null,,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
48,1594143570428,07/07/2020 17:39:30,1594143570351,-4,07/07/2020 13:39:30,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,212,3,4,JudgmentResponse,Zone5,response_keyboard_single,558.1449999590404,null,,4,1,0,1,0,,,false,8,8,Trial,The|athletic|girl|taught|herself|how|to|shoot|baskets.,F.GR.C.31,5,
49,1594143570786,07/07/2020 17:39:30,1594143570702,-4,07/07/2020 13:39:30,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,213,4,1,Fixation,fixation,fixation,367.0519999999997,null,,null,,0,1,0,,,false,8,8,Trial,The|hungry|waitress|ordered|herself|a|burger.,F.GR.C.34,5,
50,1594143571098,07/07/2020 17:39:31,1594143571021,-4,07/07/2020 13:39:31,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,213,4,2,ReadingPres,Zone1,reading,316.99199999999837,null,,The,1,0,1,0,,,false,8,8,Trial,The|hungry|waitress|ordered|herself|a|burger.,F.GR.C.34,5,
51,1594143571411,07/07/2020 17:39:31,1594143571347,-4,07/07/2020 13:39:31,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,213,4,2,ReadingPres,Zone1,reading,316.91300000000047,null,,hungry,2,0,1,0,,,false,8,8,Trial,The|hungry|waitress|ordered|herself|a|burger.,F.GR.C.34,5,
